run_key,sigma_hash,sigma_seed_equivalent,ok,fitness,expected_di,expected_free,reason,iterations,info_iterations,created_at,updated_at,fitness_objective,run_label,is_best_sigma
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",d58e4fa885288ec220d324316535b603,5471807037262713738,True,5.272326731939935,5.272326731939935,12.871173417538122,,61,31,1773940085.9683888,1773940085.9683888,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",601afafb8df2dc6c1b8f5321c214321c,6612771999015627509,True,6.684145225841587,6.684145225841587,14.322894495771362,,67,30,1773940086.30116,1773940086.30116,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",83646945b88c0cfa6e36d60b4a9d5cfa,8430642392808650480,True,6.610000283807536,6.610000283807536,14.26791566261709,,53,30,1773940086.5736809,1773940086.5736809,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",7facef6866292bfeb51f5ebbbd4fc232,3781121035968059953,True,6.493135625436847,6.493135625436847,14.011613908565655,,52,29,1773940086.8439627,1773940086.8439627,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",0c09ebbbd4f9c11a41aa912be44e6a3d,6466721166626253937,True,6.6614975640283305,6.6614975640283305,14.183835978702717,,60,29,1773940087.1540463,1773940087.1540463,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",ffa0fd4edc87c328df1b78bc8bd11c87,6799717843939140316,True,7.03482389244788,7.03482389244788,14.763590446886056,,65,31,1773940087.514707,1773940087.514707,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",ecca802df9502704ffc0884bf39b3648,6437201497099568213,True,6.7756931521834165,6.7756931521834165,14.315650598816955,,57,30,1773940087.8425128,1773940087.8425128,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",a8f3ec7f930ef76282c373286a3810c0,6101053853012459399,True,6.938888901720874,6.938888901720874,14.565085545863509,,51,30,1773940088.1225772,1773940088.1225772,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",2c4a4380e03c354c23a1342014f6daff,8950265588457883031,True,6.797088570143896,6.797088570143896,14.398360705426066,,52,30,1773940088.4047303,1773940088.4047303,decision_information,Decision Information fitness,False
"{""beta"":1.0,""determinism"":0.97,""env_id"":""four_rooms"",""goal"":46,""manhattan"":true,""max_blahut_iterations"":100000,""max_info_iterations"":10000,""shape"":[7,7],""state_dist"":""uniform"",""theta"":1e-05}",6f829b44a379b4ae18aea4f616207c8d,8625479051413546474,True,5.9272043788370015,5.9272043788370015,13.394585532383422,,48,29,1773940088.667327,1773940088.667327,decision_information,Decision Information fitness,False
